articulo,epigrafe,libro,titulo,capitulo
Art. 354 CP,Atenuantes específicas,Libro II,Título XIX,Capítulo III
Art. 355 CP,Restauración del patrimonio cultural,Libro II,Título XIX,Capítulo III
Art. 356 CP,Reincidencia internacional,Libro II,Título XIX,Capítulo III
Art. 357 CP,Hurto simple,Libro II,Título XX,Capítulo I
Art. 358 CP,Hurto de ganado o cosechas,Libro II,Título XX,Capítulo I
Art. 359 CP,Hurto de posesión,Libro II,Título XX,Capítulo I
Art. 360 CP,Robo con fuerza,Libro II,Título XX,Capítulo II
Art. 361 CP,Robo con violencia o intimidación,Libro II,Título XX,Capítulo II
Art. 362 CP,Robo de ganado,Libro II,Título XX,Capítulo II
Art. 363 CP,Agravantes específicas,Libro II,Título XX,Capítulo III
Art. 364 CP,Hurto y robo de uso de vehículo automotor,Libro II,Título XX,Capítulo IV
Art. 369 CP,"Defraudaciones de energía, fluidos y telecomunicaciones",Libro II,Título XX,Capítulo V
Art. 370 CP,Administración fraudulenta,Libro II,Título XX,Capítulo VI
Art. 371 CP,Apropiación y retención indebidas,Libro II,Título XX,Capítulo VI
Art. 372 CP,Apropiación irregular,Libro II,Título XX,Capítulo VI
Art. 373 CP,Extorsión,Libro II,Título XX,Capítulo VII
Art. 375 CP,Atenuantes específicas,Libro II,Título XX,Capítulo VII
Art. 378 CP,Usurpación,Libro II,Título XX,Capítulo VIII
Art. 381 CP,Daños,Libro II,Título XX,Capítulo IX
Art. 384 CP,Daños imprudentes,Libro II,Título XX,Capítulo IX
Art. 385 CP,Perdón del ofendido,Libro II,Título XX,Capítulo IX
Art. 386 CP,Usura,Libro II,Título XX,Capítulo X
Art. 387 CP,Loterías y juegos no autorizados,Libro II,Título XX,Capítulo XI
Art. 390 CP,Agravantes específicas,Libro II,Título XXI,Capítulo I
Art. 391 CP,Disfrute ilícito de servicios de acceso condicional,Libro II,Título XXI,Capítulo I
Art. 392 CP,Elusión de medidas tecnológicas,Libro II,Título XXI,Capítulo I
Art. 393 CP,Uso ilegítimo de patente,Libro II,Título XXI,Capítulo II
Art. 394 CP,Uso ilegítimo de distintivos o marcas registradas,Libro II,Título XXI,Capítulo II
Art. 395 CP,Descubrimiento y revelación de secreto industrial o comercial,Libro II,Título XIV,Capítulo II
Art. 396 CP,Agravantes específicas,Libro II,Título XIV,Capítulo III
Art. 397 CP,Responsabilidad de las personas jurídicas,Libro II,Título XIV,Capítulo III
Art. 398 CP,Acceso no autorizado a sistemas informáticos,Libro II,Título XXII,Capítulo III
Art. 399 CP,Daños a datos y sistemas informáticos,Libro II,Título XXII,Capítulo III
