original_classification,canonical_classification,count
"APPROVED_METADATA_ONLY","APPROVED_METADATA_ONLY","13"
"APPROVED_TITLE_META_H1","APPROVED_TITLE_META_H1","30"
"APPROVED_TITLE_META","APPROVED_TITLE_META","61"
"INSUFFICIENT_DATA","INSUFFICIENT_DATA","8"
"KEEP_NO_CHANGE","KEEP_NO_CHANGE","23"
