source,path,matched
app/(public)/derecho-penal/[slug]/page.tsx,/derecho-penal,yes
app/(public)/derecho-penal/[slug]/page.tsx,/blog/derecho-penal,yes
app/(public)/hondurenos-en-espana/[slug]/page.tsx,/hondurenos-en-espana,yes
app/(public)/hondurenos-en-espana/[slug]/page.tsx,/blog/hondurenos-en-espana,yes
app/(public)/blog/[categoria]/page.tsx,/blog,yes
app/(public)/blog/[categoria]/page.tsx,/preguntas-frecuentes,yes
app/(public)/blog/[categoria]/page.tsx,/solicitar-consulta,yes
app/(public)/blog/[categoria]/[slug]/page.tsx,/solicitar-consulta,yes
app/(public)/blog/[categoria]/[slug]/page.tsx,/blog,yes
components/cookie-consent.tsx,/politica-cookies,yes
components/blog/blog-explorer.tsx,/blog,yes
components/blog/category-filter.tsx,/blog,yes
components/blog/empty-state.tsx,/preguntas-frecuentes,yes
components/blog/empty-state.tsx,/solicitar-consulta,yes
components/blog/newsletter-section.tsx,/solicitar-consulta,yes
components/blog/blog-cta-bar.tsx,/solicitar-consulta,yes
components/chat/chat-widget.tsx,/solicitar-consulta,yes
components/layout/app-shell.tsx,/,yes
components/layout/user-actions.tsx,/intranet/admin,yes
components/layout/user-actions.tsx,/intranet/login,yes
components/marketing/public-footer.tsx,/,yes
components/marketing/cta-buttons.tsx,/solicitar-consulta,yes
components/marketing/rss-button.tsx,/blog/feed.xml,yes
components/marketing/trust-limits.tsx,/despacho,yes
components/marketing/landing-local.tsx,/guia-legal-abogados-honduras,yes
components/marketing/landing-local.tsx,/servicios-juridicos,yes
components/marketing/cta-spain.tsx,/solicitar-consulta,yes
components/marketing/live-widgets.tsx,/solicitar-consulta,yes
components/marketing/legal-disclaimer.tsx,/solicitar-consulta,yes
components/marketing/local-context-blocks.tsx,/como-llegar,yes
components/marketing/local-context-blocks.tsx,/solicitar-consulta,yes
components/marketing/lead-magnet-cta.tsx,/politica-privacidad,yes
components/marketing/public-header.tsx,/,yes
components/marketing/public-header.tsx,/solicitar-consulta,yes
components/marketing/solicitar-consulta-form.tsx,/politica-privacidad,yes
components/domain/calculadora/paso8-resultado.tsx,/,yes
components/domain/calculadora/state.ts,/,yes
lib/blog-context-linker.ts,/abogados-en-,no
