dependency,version,declared_in,import_references,sample_files,candidate
@cyclonedx/cyclonedx-npm,^6.0.0,devDependencies,0,,no-static-import
@google/genai,^2.13.0,devDependencies,4,scripts/archive/agent-loop.ts | scripts/archive/re-audit-loop.ts | scripts/archive/update-block.ts | scripts/corregir-articulos.ts,used
@modelcontextprotocol/server-filesystem,^2026.7.10,devDependencies,0,,no-static-import
@next/bundle-analyzer,16.2.11,devDependencies,1,next.config.ts,used
@playwright/test,^1.61.1,devDependencies,17,e2e/admin-agravantes.spec.ts | e2e/auth-flow.spec.ts | e2e/fase3e-visual.spec.ts | e2e/fase4b-visual.spec.ts | e2e/fase5-design.spec.ts | e2e/hydration.spec.ts | e2e/intranet-sidebar.spec.ts | e2e/sgie-demo.spec.ts | e2e/smoke.spec.ts | playwright.config.ts | playwright.e2e.config.ts | scripts/fase5-capturas.mjs | tests/e2e/critical-auth.spec.ts | tests/e2e/critical-authorization.spec.ts | tests/e2e/critical-descargar.spec.ts,used
@tailwindcss/postcss,^4,devDependencies,0,,no-static-import
@testing-library/dom,^10.4.1,devDependencies,0,,no-static-import
@testing-library/jest-dom,^6.9.1,devDependencies,1,tests/setup.ts,used
@testing-library/react,^16.3.2,devDependencies,7,tests/analytics-consent-integration.test.tsx | tests/components/badge.test.tsx | tests/components/button.test.tsx | tests/components/chip.test.tsx | tests/components/circunstancia-picker.test.tsx | tests/cookie-consent-dialog.test.tsx | tests/fase3-ai-review-notice.test.tsx,used
@testing-library/user-event,^14.6.1,devDependencies,4,tests/components/button.test.tsx | tests/components/chip.test.tsx | tests/components/circunstancia-picker.test.tsx | tests/cookie-consent-dialog.test.tsx,used
@types/bcryptjs,^2.4.6,devDependencies,0,,no-static-import
@types/jsonwebtoken,^9.0.10,devDependencies,0,,no-static-import
@types/node,^20,devDependencies,0,,no-static-import
@types/pdfkit,^0.17.6,devDependencies,0,,no-static-import
@types/react,^19,devDependencies,0,,no-static-import
@types/react-dom,^19,devDependencies,0,,no-static-import
@types/sanitize-html,^2.16.1,devDependencies,0,,no-static-import
@vitest/coverage-v8,^4.1.10,devDependencies,0,,no-static-import
drizzle-kit,^0.31.10,devDependencies,1,drizzle.config.ts,used
eslint,^9,devDependencies,1,eslint.config.mjs,used
eslint-config-next,16.2.11,devDependencies,1,eslint.config.mjs,used
jsdom,^29.1.1,devDependencies,0,,no-static-import
pixelmatch,^7.2.0,devDependencies,1,scripts/visual-regression.cjs,used
playwright,^1.60.0,devDependencies,5,scripts/fase5a-validacion-visual.mjs | scripts/playwright-audit.mjs | scripts/qa-visual-cierre.mjs | scripts/screenshot-audit.cjs | scripts/visual-regression.cjs,used
pngjs,^7.0.0,devDependencies,1,scripts/visual-regression.cjs,used
sharp,^0.35.3,devDependencies,2,scripts/gen-favicon.mjs | scripts/optimize-images.mjs,used
tailwindcss,^4,devDependencies,0,,no-static-import
typescript,^5,devDependencies,0,,no-static-import
vitest,^4.1.8,devDependencies,97,tests/2fa-verify-route.test.ts | tests/analytics-config.test.ts | tests/analytics-consent-integration.test.tsx | tests/api-chat.test.ts | tests/api/bulk-approval.test.ts | tests/api/calcular.test.ts | tests/api/contacto.test.ts | tests/api/email-inbound-catchall.test.ts | tests/api/revalidate.test.ts | tests/audit.test.ts | tests/auth-lazy-load.test.ts | tests/auth-secret-validation.test.ts | tests/auth.test.ts | tests/blog-internal-links.test.ts | tests/blog-verification-phase2.test.ts,used
