nombre,articulo_actual,status,rama_id,pena_min,pena_max,es_grave
Pedofilia,Art. 261 CP,validado,libertad_sexual,96,144,True
Piratería,Art. 161 CP,validado,comunidad_internacional,96,144,True
Pornografía infantil,Art. 262 CP,validado,libertad_sexual,60,120,True
Proxenetismo,Art. 266 CP,validado,libertad_sexual,36,72,False
Trata de personas,Art. 264 CP,validado,libertad_sexual.trata,96,144,True
Trata de personas agravada,Art. 264 CP,validado,libertad_sexual.trata,120,180,True
Violación,Art. 249 CP,validado,libertad_sexual,108,156,True
Violación agravada,Art. 250 CP,validado,libertad_sexual,120,180,True
Homicidio simple,Art. 192 CP,validado,vida_integridad.homicidio.consumado,60,96,True
Homicidio agravado,Art. 193 CP,validado,vida_integridad.homicidio.consumado,120,180,True
Homicidio preterintencional,Art. 192 CP,validado,vida_integridad.homicidio.consumado,60,120,True
Inducción al suicidio,Art. 195 CP,validado,vida_integridad.homicidio.consumado,24,60,False
Aborto consentido,Art. 196 CP,validado,vida_integridad.aborto.consentido,36,72,False
Aborto forzado,Art. 196 CP,validado,vida_integridad.aborto.forzado,96,120,True
Aborto imprudente,Art. 196 CP,validado,vida_integridad.aborto.consentido,12,36,False
Lesiones leves,Art. 199 CP,validado,vida_integridad.lesiones.leves,6,12,False
Lesiones imprudentes,Art. 202 CP,validado,vida_integridad.lesiones.leves,12,48,False
Mutilar,Art. 201 CP,validado,vida_integridad.lesiones.graves,96,144,True
Participación en riña,Art. 205 CP,validado,vida_integridad.riña,12,36,False
Lesiones al feto,Art. 203 CP,validado,vida_integridad.vida_dependiente,12,48,False
Agresión sexual,Art. 254 CP,validado,libertad_sexual.agresiones.violacion,60,96,True
Abuso sexual a menor impúber,Art. 261 CP,validado,libertad_sexual.abusos.menores,96,144,True
Corrupción de menores,Art. 260 CP,validado,libertad_sexual.abusos.menores,48,84,False
Atentado contra la libertad de expresión,Art. 125 CP,validado,constitucion.expresion,12,36,False
Atentado contra la libertad de culto,Art. 127 CP,validado,constitucion.culto,12,36,False
Discriminación,Art. 124 CP,validado,constitucion.derechos_fundamentales,6,24,False
Traición,Art. 149 CP,validado,seguridad_estado.traicion,120,240,True
Atentado contra la libertad de información,Art. 125 CP,validado,constitucion.expresion,12,36,False
Atentado contra la libertad de reunión,Art. 126 CP,validado,constitucion.derechos_fundamentales,12,36,False
Atentado al derecho de petición,Art. 129 CP,validado,constitucion.derechos_fundamentales,6,24,False
Crimen de guerra,Art. 148 CP,validado,comunidad_internacional.lesa_humanidad,120,240,True
Ejecución extrajudicial,Art. 192 CP,validado,comunidad_internacional.lesa_humanidad,120,240,True
Tráfico ilegal de mano de obra,Art. 264 CP,validado,trabajadores.seguridad_laboral,60,120,True
Omisión del deber de socorro por profesional,Art. 204 CP,validado,libertad.integridad_moral,12,36,False
Contagio venéreo,Art. 207 CP,validado,vida_integridad.lesiones.leves,6,12,False
Participación en riña tumultuaria,Art. 205 CP,validado,vida_integridad.riña,24,48,False
Agresión sexual con penetración de objetos,Art. 254 CP,validado,libertad_sexual.agresiones.agravada,72,120,True
Exhibicionismo,Art. 269 CP,validado,libertad_sexual.abusos.menores,12,36,False
Rufianería,Art. 268 CP,validado,libertad_sexual.explotacion,36,72,False
Atentado contra jefe de Estado extranjero,Art. 158 CP,validado,comunidad_internacional.lesa_humanidad,60,120,True
Piratería aérea,Art. 161 CP,validado,comunidad_internacional.pirateria,96,144,True
Lesiones con deformidad,Art. 201 CP,validado,vida_integridad.lesiones.graves,72,96,True
Lesiones con pérdida de órgano,Art. 201 CP,validado,vida_integridad.lesiones.graves,96,144,True
Lesiones con pérdida de sentido,Art. 201 CP,validado,vida_integridad.lesiones.graves,96,144,True
Riña con resultado de muerte,Art. 206 CP,validado,vida_integridad.riña,48,96,False
Contagio de ETS,Art. 207 CP,validado,vida_integridad.lesiones.leves,6,12,False
Abuso sexual con penetración digital,Art. 260 CP,validado,libertad_sexual.agresiones.agravada,60,96,True
Violación de persona en estado de inconsciencia,Art. 249 CP,validado,libertad_sexual.agresiones.violacion,108,156,True
Agresión sexual con penetración de objetos agravada,Art. 255 CP,validado,libertad_sexual.agresiones.agravada,84,132,True
Exhibicionismo ante menores,Art. 269 CP,validado,libertad_sexual.abusos.menores,24,60,False
Pornografía infantil agravada,Art. 262 CP,validado,libertad_sexual.abusos.menores,84,132,True
Proxenetismo agravado,Art. 267 CP,validado,libertad_sexual.explotacion,60,120,True
Turismo sexual infantil,Art. 264 CP,validado,libertad_sexual.explotacion,96,144,True
Trata con fines de esclavitud,Art. 264 CP,validado,libertad_sexual.trata,96,144,True
Discriminación racial,Art. 124 CP,validado,constitucion.derechos_fundamentales,12,36,False
Discriminación por orientación sexual,Art. 124 CP,validado,constitucion.derechos_fundamentales,12,36,False
Atentado contra la libertad ideológica,Art. 124 CP,validado,constitucion.derechos_fundamentales,12,36,False
Omisión del deber de socorro en accidente,Art. 204 CP,validado,seguridad_colectiva.vial,6,24,False
Aborto sin consentimiento agravado,Art. 196 CP,validado,vida_integridad.aborto.forzado,96,120,True
Lesiones culposas graves,Art. 202 CP,validado,vida_integridad.lesiones.leves,12,48,False
Riña con arma blanca,Art. 205 CP,validado,vida_integridad.riña,24,48,False
Trata de menores,Art. 264 CP,validado,libertad_sexual.trata,120,180,True
Agresión sexual a persona con discapacidad,Art. 256 CP,validado,libertad_sexual.agresiones.agravada,84,132,True
Violación de persona con discapacidad,Art. 250 CP,validado,libertad_sexual.agresiones.agravada,120,180,True
Abuso sexual con penetración digital a menor,Art. 261 CP,validado,libertad_sexual.abusos.menores,96,144,True
Posesión de pornografía infantil,Art. 262 CP,validado,libertad_sexual.abusos.menores,36,72,False
Distribución de pornografía infantil,Art. 262 CP,validado,libertad_sexual.abusos.menores,60,120,True
Prostitución forzada,Art. 263 CP,validado,libertad_sexual.explotacion,60,120,True
Explotación sexual de persona vulnerable,Art. 263 CP,validado,libertad_sexual.explotacion,84,144,True
Discriminación por enfermedad,Art. 124 CP,validado,constitucion.derechos_fundamentales,6,24,False
Discriminación por discapacidad,Art. 124 CP,validado,constitucion.derechos_fundamentales,6,24,False
Atentado contra la libertad de empresa,Art. 131 CP,validado,constitucion.derechos_fundamentales,6,24,False
Atentado contra el derecho a la educación,Art. 130 CP,validado,constitucion.derechos_fundamentales,6,24,False
Inutilización de buques o aeronaves,Art. 161 CP,validado,seguridad_colectiva.incendios,60,120,True
